cluster_pair,start_year,weights,normalized_weights
"('Cluster_0', 'Cluster_1')",1987,"[0.0, 4.0, 5.0, 107.0]","[-0.6434126342158428, -0.5546660639791748, -0.5324794214200079, 1.7305581196150257]"
"('Cluster_0', 'Cluster_1')",1988,"[4.0, 5.0, 107.0, 381.0]","[-0.7807011780974448, -0.7742088606080689, -0.11199247669173325, 1.666902515397247]"
"('Cluster_0', 'Cluster_1')",1989,"[5.0, 107.0, 381.0, 424.0]","[-1.2625602970276208, -0.6882853793160608, 0.8543746937522473, 1.0964709825914345]"
"('Cluster_0', 'Cluster_1')",1990,"[107.0, 381.0, 424.0, 910.0]","[-1.205015200015654, -0.2576000929732173, -0.10891816011619256, 1.571533453105064]"
"('Cluster_0', 'Cluster_1')",1991,"[381.0, 424.0, 910.0, 2330.0]","[-0.7985800193362418, -0.7440953849348797, -0.12829230774739306, 1.6709677120185145]"
"('Cluster_0', 'Cluster_1')",1992,"[424.0, 910.0, 2330.0, 3222.0]","[-1.1647420199304734, -0.7284687084189436, 0.5462393211003416, 1.3469714072490755]"
"('Cluster_0', 'Cluster_1')",1993,"[910.0, 2330.0, 3222.0, 2987.0]","[-1.6137224941812378, -0.03583580680829397, 0.955343717935837, 0.6942145830536948]"
"('Cluster_0', 'Cluster_1')",1994,"[2330.0, 3222.0, 2987.0, 4129.0]","[-1.2987135866997501, 0.08533960247130974, -0.2792932444515592, 1.4926672286799996]"
"('Cluster_0', 'Cluster_1')",1995,"[3222.0, 2987.0, 4129.0, 5199.0]","[-0.7606414807211656, -1.0305557849408318, 0.281112876416014, 1.5100843892459832]"
"('Cluster_0', 'Cluster_1')",1996,"[2987.0, 4129.0, 5199.0, 5094.0]","[-1.5309652977652068, -0.25034828985613067, 0.9495292919851228, 0.8317842956362147]"
"('Cluster_0', 'Cluster_1')",1997,"[4129.0, 5199.0, 5094.0, 7321.0]","[-1.1210847436913858, -0.20311215846101824, -0.29319358037614773, 1.6173904825285517]"
"('Cluster_0', 'Cluster_1')",1998,"[5199.0, 5094.0, 7321.0, 4639.0]","[-0.3514448233192744, -0.45275355756367747, 1.6959564535057092, -0.8917580726227574]"
"('Cluster_0', 'Cluster_1')",1999,"[5094.0, 7321.0, 4639.0, 4744.0]","[-0.3250837145494438, 1.7113760106308975, -0.7411542915395899, -0.6451380045418639]"
"('Cluster_0', 'Cluster_1')",2000,"[7321.0, 4639.0, 4744.0, 7365.0]","[0.9829526928606399, -1.0391214181669621, -0.959957442903018, 1.0161261682093403]"
"('Cluster_0', 'Cluster_1')",2001,"[4639.0, 4744.0, 7365.0, 3593.0]","[-0.320809531018343, -0.24532493548461523, 1.6389143492191987, -1.0727798827162405]"
"('Cluster_0', 'Cluster_1')",2002,"[4744.0, 7365.0, 3593.0, 4722.0]","[-0.26140846795753103, 1.631275494795753, -1.092571856408134, -0.27729517043008817]"
"('Cluster_0', 'Cluster_1')",2003,"[7365.0, 3593.0, 4722.0, 5880.0]","[1.412864232018153, -1.2855276075628461, -0.4778700288547475, 0.35053340439944053]"
"('Cluster_0', 'Cluster_1')",2004,"[3593.0, 4722.0, 5880.0, 6597.0]","[-1.4043163765005175, -0.41648261384065194, 0.5967250895784131, 1.2240739007627564]"
"('Cluster_0', 'Cluster_1')",2005,"[4722.0, 5880.0, 6597.0, 7761.0]","[-1.3750634624953146, -0.32610200691588487, 0.3233844901915858, 1.3777809792196136]"
"('Cluster_0', 'Cluster_1')",2006,"[5880.0, 6597.0, 7761.0, 15891.0]","[-0.7848460059053848, -0.6063276186473434, -0.3165153414250838, 1.707688965977812]"
"('Cluster_0', 'Cluster_1')",2007,"[6597.0, 7761.0, 15891.0, 8267.0]","[-0.8271216885053393, -0.5095855257678014, 1.7082572603629402, -0.3715500460897995]"
"('Cluster_0', 'Cluster_1')",2008,"[7761.0, 15891.0, 8267.0, 27371.0]","[-0.8906450812945842, 0.13476658916140527, -0.8268248715466469, 1.5827033636798258]"
"('Cluster_0', 'Cluster_1')",2009,"[15891.0, 8267.0, 27371.0, 35477.0]","[-0.5612405636551625, -1.291365648086006, 0.5381607964269577, 1.3144454153142109]"
"('Cluster_0', 'Cluster_1')",2010,"[8267.0, 27371.0, 35477.0, 51886.0]","[-1.4320411011486747, -0.21523689373452054, 0.3010641377405178, 1.3462138571426774]"
"('Cluster_0', 'Cluster_1')",2011,"[27371.0, 35477.0, 51886.0, 71417.0]","[-1.136694478893384, -0.6559637631533773, 0.31718085991321116, 1.47547738213355]"
"('Cluster_0', 'Cluster_1')",2012,"[35477.0, 51886.0, 71417.0, 83496.0]","[-1.366681370882775, -0.4729353715676365, 0.5908560302620892, 1.2487607121883222]"
"('Cluster_0', 'Cluster_1')",2013,"[51886.0, 71417.0, 83496.0, 99357.0]","[-1.4215266195157805, -0.29534171683607785, 0.40115039516372386, 1.3157179411881343]"
"('Cluster_0', 'Cluster_1')",2014,"[71417.0, 83496.0, 99357.0, 177764.0]","[-0.8822687145334824, -0.5910282952325537, -0.20859893100273078, 1.6818959407687668]"
